Level,Date and Time,Source,Event ID,Task Category
Information,31-10-2023 15:46:09,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,31-10-2023 15:46:09,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: 16777220."
Information,31-10-2023 15:46:09,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 9 to 10.

Reason 16777220 

BootId: 59"
Information,31-10-2023 15:46:09,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: 16777220."
Information,31-10-2023 15:46:09,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:46:09,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:46:07,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:46:07,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:45:39,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:45:39,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:45:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:45:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:41:51,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:41:51,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:41:43,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:41:43,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:41:39,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:41:39,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:41:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:41:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:40:39,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:40:39,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:40:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:40:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:35:50,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:35:50,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:35:42,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:35:42,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:35:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:35:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:35:35,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:35:35,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:30:09,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:30:09,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:30:07,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:30:07,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:29:48,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:29:48,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:29:40,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:29:40,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:29:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:29:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:29:33,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:29:33,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:26:13,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:26:13,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:26:05,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:26:05,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:26:01,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:26:01,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
